scraped_at,date_text,time,away,away_score,home,home_score,game_code,venue,game_url
2025-12-31T03:35:49+00:00,Nov 02 (Sun),1:00 PM,Kingston Canadians,4,Ajax-Pickering Raiders,1,U14AA-051,Ajax Community Centre (Pad 4),https://lakeshorehockeyleague.net/Groups/1313/Games/2224644/
2025-12-31T03:35:49+00:00,Nov 23 (Sun),1:45 PM,North Durham Warriors,3,Ajax-Pickering Raiders,4,U14AA-003,Ajax Community Centre (Pad 3),https://lakeshorehockeyleague.net/Groups/1313/Games/2224645/
2025-12-31T03:35:50+00:00,Nov 22 (Sat),5:30 PM,Ajax-Pickering Raiders,4,Belleville Bulls,2,U14AA-125,Quinte Sports & Wellness Centre (Wally Dever Arena),https://lakeshorehockeyleague.net/Groups/1313/Games/2224651/
2025-12-31T03:35:50+00:00,Nov 15 (Sat),5:30 PM,Kingston Canadians,2,Belleville Bulls,0,U14AA-064,Quinte Sports & Wellness Centre (Wally Dever Arena),https://lakeshorehockeyleague.net/Groups/1313/Games/2224653/
2025-12-31T03:35:51+00:00,Nov 23 (Sun),6:30 PM,Northumberland Nighthawks,2,Belleville Bulls,2,U14AA-082,Quinte Sports & Wellness Centre (Wally Dever Arena),https://lakeshorehockeyleague.net/Groups/1313/Games/2224655/
2025-12-31T03:35:51+00:00,Nov 16 (Sun),5:00 PM,Peterborough Petes,2,Belleville Bulls,3,U14AA-114,Quinte Sports & Wellness Centre (Wally Dever Arena),https://lakeshorehockeyleague.net/Groups/1313/Games/2224657/
2025-12-31T03:35:51+00:00,Nov 15 (Sat),6:45 PM,North Durham Warriors,2,Clarington Toros,7,U14AA-052,Garnet B Rickard Recreation Complex (Toyota),https://lakeshorehockeyleague.net/Groups/1313/Games/2224663/
2025-12-31T03:35:52+00:00,Nov 12 (Wed),7:00 PM,Peterborough Petes,3,Clarington Toros,8,U14AA-019,Garnet B Rickard Recreation Complex (Toyota),https://lakeshorehockeyleague.net/Groups/1313/Games/2224666/
2025-12-31T03:35:52+00:00,Nov 01 (Sat),2:00 PM,Clarington Toros,2,Kingston Canadians,1,U14AA-083,Centre 70 Arena,https://lakeshorehockeyleague.net/Groups/1313/Games/2224671/
2025-12-31T03:35:53+00:00,Nov 16 (Sun),5:00 PM,Northumberland Nighthawks,1,Kingston Canadians,10,U14AA-108,INVISTA Centre (Selkirk),https://lakeshorehockeyleague.net/Groups/1313/Games/2224673/
2025-12-31T03:35:53+00:00,Nov 22 (Sat),5:00 PM,Peterborough Petes,2,Kingston Canadians,3,U14AA-062,INVISTA Centre (Selkirk),https://lakeshorehockeyleague.net/Groups/1313/Games/2224675/
2025-12-31T03:35:53+00:00,Nov 01 (Sat),4:45 PM,Ajax-Pickering Raiders,6,North Durham Warriors,5,U14AA-053,Uxbridge Community Centre (Pad 2),https://lakeshorehockeyleague.net/Groups/1313/Games/2224678/
2025-12-31T03:35:54+00:00,Nov 02 (Sun),6:30 PM,Belleville Bulls,0,North Durham Warriors,2,U14AA-016,Scugog Arena (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224679/
2025-12-31T03:35:54+00:00,Nov 22 (Sat),4:45 PM,Clarington Toros,3,North Durham Warriors,0,U14AA-102,Uxbridge Community Centre (Pad 2),https://lakeshorehockeyleague.net/Groups/1313/Games/2224680/
2025-12-31T03:35:54+00:00,Nov 09 (Sun),6:30 PM,Whitby Wildcats,2,North Durham Warriors,3,U14AA-020,Scugog Arena (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224686/
2025-12-31T03:35:55+00:00,Nov 29 (Sat),3:00 PM,Ajax-Pickering Raiders,5,Northumberland Nighthawks,1,U14AA-049,Jack Burger Sports Complex,https://lakeshorehockeyleague.net/Groups/1313/Games/2224687/
2025-12-31T03:35:55+00:00,Nov 02 (Sun),4:30 PM,Oshawa Generals,9,Northumberland Nighthawks,0,U14AA-127,Cobourg Community Centre (Bowl),https://lakeshorehockeyleague.net/Groups/1313/Games/2224692/
2025-12-31T03:35:56+00:00,Nov 01 (Sat),6:45 PM,Quinte West Hawks,5,Northumberland Nighthawks,1,U14AA-087,Cobourg Community Centre (Grace Bowen),https://lakeshorehockeyleague.net/Groups/1313/Games/2224694/
2025-12-31T03:35:56+00:00,Nov 01 (Sat),7:15 PM,Belleville Bulls,3,Oshawa Generals,2,U14AA-054,Delpark Homes Centre (Pad 3),https://lakeshorehockeyleague.net/Groups/1313/Games/2224697/
2025-12-31T03:35:56+00:00,Nov 15 (Sat),2:30 PM,Ajax-Pickering Raiders,2,Peterborough Petes,3,U14AA-056,Miskin Law Community Center (South Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224705/
2025-12-31T03:35:57+00:00,Nov 21 (Fri),6:30 PM,Clarington Toros,5,Peterborough Petes,0,U14AA-030,Miskin Law Community Center (South Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224707/
2025-12-31T03:35:57+00:00,Nov 29 (Sat),6:00 PM,North Durham Warriors,5,Peterborough Petes,4,U14AA-029,Miskin Law Community Center (South Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224709/
2025-12-31T03:35:57+00:00,Nov 09 (Sun),6:30 PM,Quinte West Hawks,3,Peterborough Petes,1,U14AA-092,Healthy Planet Arena (South Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224712/
2025-12-31T03:35:58+00:00,Nov 15 (Sat),3:45 PM,Oshawa Generals,3,Quinte West Hawks,3,U14AA-009,Duncan McDonald Memorial Gardens (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224720/
2025-12-31T03:35:58+00:00,Nov 23 (Sun),2:15 PM,Kingston Canadians,1,Whitby Wildcats,3,U14AA-038,Iroquois Park Sports Centre (Pad 4),https://lakeshorehockeyleague.net/Groups/1313/Games/2224726/
2025-12-31T03:35:59+00:00,Nov 20 (Thu),7:15 PM,North Durham Warriors,3,Whitby Wildcats,0,U14AA-070,McKinney Centre (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224727/
2025-12-31T03:35:59+00:00,Nov 26 (Wed),7:45 PM,Clarington Toros,4,Ajax-Pickering Raiders,2,U14AA-043,Don Beer Arena (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224868/
2025-12-31T03:35:59+00:00,Nov 18 (Tue),8:15 PM,North Durham Warriors,2,Ajax-Pickering Raiders,1,U14AA-076,Ajax Community Centre (Pad 3),https://lakeshorehockeyleague.net/Groups/1313/Games/2224869/
2025-12-31T03:36:00+00:00,Nov 16 (Sun),7:00 PM,Oshawa Generals,1,Clarington Toros,7,U14AA-110,Garnet B Rickard Recreation Complex (Toyota),https://lakeshorehockeyleague.net/Groups/1313/Games/2224879/
2025-12-31T03:36:00+00:00,Nov 08 (Sat),6:30 PM,Whitby Wildcats,0,Kingston Canadians,3,U14AA-119,Cataraqui Community Centre (Kinsmen Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224885/
2025-12-31T03:36:01+00:00,Nov 16 (Sun),6:30 PM,Quinte West Hawks,3,North Durham Warriors,3,U14AA-037,Scugog Arena (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224889/
2025-12-31T03:36:01+00:00,Nov 12 (Wed),7:15 PM,North Durham Warriors,5,Northumberland Nighthawks,2,U14AA-014,Cobourg Community Centre (Grace Bowen),https://lakeshorehockeyleague.net/Groups/1313/Games/2224892/
2025-12-31T03:36:01+00:00,Nov 26 (Wed),7:15 PM,Peterborough Petes,1,Northumberland Nighthawks,1,U14AA-050,Cobourg Community Centre (Grace Bowen),https://lakeshorehockeyleague.net/Groups/1313/Games/2224893/
2025-12-31T03:36:02+00:00,Nov 09 (Sun),12:30 PM,Kingston Canadians,3,Oshawa Generals,4,U14AA-085,Delpark Homes Centre (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224896/
2025-12-31T03:36:02+00:00,Nov 22 (Sat),7:15 PM,Northumberland Nighthawks,3,Oshawa Generals,6,U14AA-090,Delpark Homes Centre (Pad 3),https://lakeshorehockeyleague.net/Groups/1313/Games/2224897/
2025-12-31T03:36:03+00:00,Nov 08 (Sat),5:15 PM,Quinte West Hawks,3,Oshawa Generals,4,U14AA-081,Delpark Homes Centre (Pad 3),https://lakeshorehockeyleague.net/Groups/1313/Games/2224898/
2025-12-31T03:36:03+00:00,Nov 23 (Sun),1:30 PM,Oshawa Generals,1,Peterborough Petes,5,U14AA-100,Healthy Planet Arena (Sign-A-Field Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224902/
2025-12-31T03:36:03+00:00,Nov 01 (Sat),4:00 PM,Whitby Wildcats,1,Peterborough Petes,1,U14AA-055,Miskin Law Community Center (South Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224903/
2025-12-31T03:36:04+00:00,Nov 29 (Sat),4:45 PM,Belleville Bulls,0,Quinte West Hawks,8,U14AA-096,Duncan McDonald Memorial Gardens (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224904/
2025-12-31T03:36:04+00:00,Nov 02 (Sun),12:15 PM,Clarington Toros,6,Whitby Wildcats,0,U14AA-023,Iroquois Park Sports Centre (Pad 4),https://lakeshorehockeyleague.net/Groups/1313/Games/2224909/
2025-12-31T03:36:04+00:00,Nov 06 (Thu),7:30 PM,North Durham Warriors,3,Whitby Wildcats,2,U14AA-013,Iroquois Park Sports Centre (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224910/
