scraped_at,team,gp,w,l,t,pts,w_pct,gf,ga,diff,gf_pct,l10,strk
2025-12-31T14:20:54,Clarington Toros,19,17,1,1,35,0.921,80,30,+50,0.727,8-1-1,W2
2025-12-31T14:20:54,Kingston Canadians,19,14,3,2,30,0.789,64,27,+37,0.703,7-2-1,W3
2025-12-31T14:20:54,Quinte West Hawks,17,10,3,4,24,0.706,91,48,+43,0.655,5-2-3,T1
2025-12-31T14:20:54,North Durham Warriors,18,10,6,2,22,0.611,59,56,+3,0.513,5-4-1,L1
2025-12-31T14:20:54,Oshawa Generals,20,8,9,3,19,0.475,55,58,-3,0.487,3-6-1,L1
2025-12-31T14:20:54,Peterborough Petes,20,5,9,6,16,0.400,48,59,-11,0.449,3-5-2,W1
2025-12-31T14:20:54,Ajax-Pickering Raiders,19,5,9,5,15,0.395,50,59,-9,0.459,3-4-3,T3
2025-12-31T14:20:54,Belleville Bulls,21,5,13,3,13,0.310,33,61,-28,0.351,2-6-2,L1
2025-12-31T14:20:54,Whitby Wildcats,19,4,13,2,10,0.263,28,59,-31,0.322,3-7-0,L1
2025-12-31T14:20:54,Northumberland Nighthawks,18,2,14,2,6,0.167,21,72,-51,0.226,1-7-2,W1
